party,year,label,rile,vanilla,legacy,experts,experts_source,experts_n,experts_stand
Bloc,1993,Bloc 1993,6.061,-4.782709,-0.8937077,3.5,HI95,4,-1.01881899801686
Bloc,1997,Bloc 1997,6.061,-4.782709,0.4937385,NA,,NA,NA
Bloc,2000,Bloc 2000,-19.697,-6.441644,-1.30672,7.2,BL06,101,-0.908735097124263
Bloc,2004,Bloc 2004,-12.49,-6.352603,-1.631363,NA,,NA,NA
Bloc,2006,Bloc 2006,-9.159,-6.053923,-1.145092,NA,,NA,NA
Bloc,2008,Bloc 2008,-15.381,-5.957782,-0.535468,NA,,NA,NA
Bloc,2011,Bloc 2011,6.765,-6.08209,-0.2040882,NA,,NA,NA
Bloc,2015,Bloc 2015,-5.674,-6.586617,-0.6979849,NA,,NA,NA
Conservative,1945,Cons 1945,-8.8,-5.205491,-2.094216,NA,,NA,NA
Conservative,1949,Cons 1949,5.9,-4.730503,-0.7359681,NA,,NA,NA
Conservative,1953,Cons 1953,-7.8,-4.878183,0.8444287,NA,,NA,NA
Conservative,1957,Cons 1957,1.5,-3.865306,0.3430541,NA,,NA,NA
Conservative,1958,Cons 1958,-2.9,-4.271021,0.875217,NA,,NA,NA
Conservative,1962,Cons 1962,-8.7,-5.571022,-0.1727302,NA,,NA,NA
Conservative,1963,Cons 1963,8.3,-3.654092,1.129374,NA,,NA,NA
Conservative,1965,Cons 1965,-1.7,-4.12633,2.44965,NA,,NA,NA
Conservative,1968,Cons 1968,-0.3,-4.635135,1.952931,NA,,NA,NA
Conservative,1972,Cons 1972,-12.5,-5.144582,1.24387,NA,,NA,NA
Conservative,1974,Cons 1974,2.2,-4.500447,0.9373148,NA,,NA,NA
Conservative,1979,Cons 1979,17.1,-3.476861,2.871352,NA,,NA,NA
Conservative,1980,Cons 1980,14.1,-3.483376,3.201223,6.5,CM84,3,0.700770617454131
Conservative,1984,Cons 1984,12.3,-4.841526,3.068318,NA,,NA,NA
Conservative,1988,Cons 1988,18.3,-5.058584,3.515582,NA,,NA,NA
Conservative,1993,Cons 1993,24.615,-3.78841,2.414263,7.3,HI95,10,1.20760973886343
Conservative,1997,Cons 1997,10.577,-4.213951,2.303882,NA,,NA,NA
Conservative,2000,Cons 2000,-3.947,-4.67489,2.964736,13.6,BL06,101,0.502892238214398
Conservative,2004,Cons 2004,14.39,-5.051746,2.66,NA,,NA,NA
Conservative,2006,Cons 2006,16.202,-4.363772,2.72,NA,,NA,NA
Conservative,2008,Cons 2008,9.091,-4.584719,3.78,NA,,NA,NA
Conservative,2011,Cons 2011,26.265,-4.110163,4.30604,NA,,NA,NA
Conservative,2015,Cons 2015,29.016,-3.962313,5.168065,NA,,NA,NA
Liberal,1945,Liberal 1945,7.1,-3.399386,4.134384,NA,,NA,NA
Liberal,1949,Liberal 1949,8,-4.463295,2.300392,NA,,NA,NA
Liberal,1953,Liberal 1953,-5.1,-5.252838,0.6869258,NA,,NA,NA
Liberal,1957,Liberal 1957,16.7,-3.07367,1.819627,NA,,NA,NA
Liberal,1958,Liberal 1958,-3.3,-5.126495,0.5117112,NA,,NA,NA
Liberal,1962,Liberal 1962,-1.9,-4.48495,1.287208,NA,,NA,NA
Liberal,1963,Liberal 1963,-3.8,-4.643615,0.6522897,NA,,NA,NA
Liberal,1965,Liberal 1965,-13.8,-5.417615,-0.2631601,NA,,NA,NA
Liberal,1968,Liberal 1968,-6.5,-4.802475,0.4180215,NA,,NA,NA
Liberal,1972,Liberal 1972,-10.4,-5.11798,0.5730264,NA,,NA,NA
Liberal,1974,Liberal 1974,3.4,-3.790323,0.9101185,NA,,NA,NA
Liberal,1979,Liberal 1979,-5.7,-5.384425,-0.8246655,NA,,NA,NA
Liberal,1980,Liberal 1980,-2.4,-4.37288,-0.8425274,5.3,CM84,3,0.04762518759397
Liberal,1984,Liberal 1984,-16.2,-5.588151,-0.4629554,NA,,NA,NA
Liberal,1988,Liberal 1988,-19.8,-6.780172,-1.246002,NA,,NA,NA
Liberal,1993,Liberal 1993,4.036,-4.675073,-1.129061,5.1,HI95,10,-0.08137531933042
Liberal,1997,Liberal 1997,6.338,-5.787961,-1.868286,NA,,NA,NA
Liberal,2000,Liberal 2000,-12.241,-5.67748,-1.650003,11.1,BL06,101,-0.048524689652267
Liberal,2004,Liberal 2004,-12.2,-5.327561,-0.3773674,NA,,NA,NA
Liberal,2006,Liberal 2006,-12.096,-5.964124,-0.6212232,NA,,NA,NA
Liberal,2008,Liberal 2008,5.172,-7.089647,-1.91007,NA,,NA,NA
Liberal,2011,Liberal 2011,-7.776,-6.520882,-1.976279,NA,,NA,NA
Liberal,2015,Liberal 2015,-20.683,-6.8342,-2.366763,NA,,NA,NA
NDP,1945,NDP 1945,-36.1,-6.423164,-6.105796,NA,,NA,NA
NDP,1949,NDP 1949,-38.1,-6.581656,-5.383502,NA,,NA,NA
NDP,1953,NDP 1953,-50.5,-7.123119,-5.134743,NA,,NA,NA
NDP,1957,NDP 1957,-31.1,-7.154734,-8.103647,NA,,NA,NA
NDP,1958,NDP 1958,-40.3,-6.90795,-7.471189,NA,,NA,NA
NDP,1962,NDP 1962,-37.1,-6.385969,-5.575108,NA,,NA,NA
NDP,1963,NDP 1963,-26.9,-6.12182,-5.312623,NA,,NA,NA
NDP,1965,NDP 1965,-50,-6.534173,-4.626997,NA,,NA,NA
NDP,1968,NDP 1968,-36.1,-6.943772,-5.203157,NA,,NA,NA
NDP,1972,NDP 1972,-26.4,-6.592756,-4.615733,NA,,NA,NA
NDP,1974,NDP 1974,-28.4,-6.207982,-4.916449,NA,,NA,NA
