party,year,label,congress,voteview,experts,experts_source,experts_n,experts_stand,rile,vanilla,legacy
D,1921,Dem 1921,67,-0.286410256410256,,,,,-9.917,-5.233357,-1.163328
D,1923,Dem 1923,68,-0.253279069767442,,,,,,,
D,1925,Dem 1925,69,-0.268651162790698,,,,,-8.824,-6.087134,-2.674293
D,1927,Dem 1927,70,-0.2726875,,,,,,,
D,1929,Dem 1929,71,-0.278477272727273,,,,,-13.091,-5.732208,-1.819972
D,1931,Dem 1931,72,-0.227384615384615,,,,,,,
D,1933,Dem 1933,73,-0.207938461538462,,,,,-1.075,-4.997849,-0.9285158
D,1935,Dem 1935,74,-0.20784,,,,,,,
D,1937,Dem 1937,75,-0.227646341463415,,,,,-15.646,-5.329066,-1.100017
D,1939,Dem 1939,76,-0.220493150684931,,,,,,,
D,1941,Dem 1941,77,-0.217643835616438,,,,,-15.891,-5.882264,-2.239961
D,1943,Dem 1943,78,-0.195133333333333,,,,,,,
D,1945,Dem 1945,79,-0.219,,,,,-10.092,-5.81063,-1.227641
D,1947,Dem 1947,80,-0.191531914893617,,,,,,,
D,1949,Dem 1949,81,-0.239393442622951,,,,,-18.905,-6.81745,-2.117506
D,1951,Dem 1951,82,-0.200333333333333,,,,,,,
D,1953,Dem 1953,83,-0.191792452830189,,,,,-23,-6.796011,-3.492458
D,1955,Dem 1955,84,-0.230235294117647,,,,,,,
D,1957,Dem 1957,85,-0.233962264150943,,,,,-15.3,-6.487859,-2.65199
D,1959,Dem 1959,86,-0.27244776119403,,,,,,,
D,1961,Dem 1961,87,-0.277892307692308,,,,,-19.1,-6.38167,-1.856062
D,1963,Dem 1963,88,-0.291173913043478,,,,,,,
D,1965,Dem 1965,89,-0.297271428571429,,,,,-20.1,-6.223123,-2.795025
D,1967,Dem 1967,90,-0.29890625,,,,,,,
D,1969,Dem 1969,91,-0.289051724137931,,,,,-7.5,-5.457198,-1.822919
D,1971,Dem 1971,92,-0.28675,,,,,,,
D,1973,Dem 1973,93,-0.325842105263158,,,,,-21,-6.841173,-2.038991
D,1975,Dem 1975,94,-0.32472131147541,,,,,,,
D,1977,Dem 1977,95,-0.319815384615385,,,,,-19.8,-6.057486,-2.247395
D,1979,Dem 1979,96,-0.313050847457627,,,,,,,
D,1981,Dem 1981,97,-0.29954347826087,,,,,-21.2,-6.357207,-3.330459
D,1983,Dem 1983,98,-0.301565217391304,4.8,CM84,6,-0.224518741514431,,,
D,1985,Dem 1985,99,-0.305829787234043,,,,,-14.1,-6.782739,-4.611145
D,1987,Dem 1987,100,-0.294563636363636,,,,,,,
D,1989,Dem 1989,101,-0.293625,,,,,-7,-6.65495,-4.680799
D,1991,Dem 1991,102,-0.299362068965517,,,,,,,
D,1993,Dem 1993,103,-0.296245614035088,4.15,HI95,13,-0.637982503550493,12.5,-5.441898,-3.331724
D,1995,Dem 1995,104,-0.301375,,,,,,,
D,1997,Dem 1997,105,-0.310977777777778,,,,,8.784,-5.20726,-2.7682
D,1999,Dem 1999,106,-0.295173913043478,,,,,,,
D,2001,Dem 2001,107,-0.2944,7.1,BL06,167,-0.930791774238929,-3.596,-5.872682,-3.144604
D,2003,Dem 2003,108,-0.291604166666667,,,,,,,
D,2005,Dem 2005,109,-0.307333333333333,,,,,8.361,-5.346007,-2.842515
D,2007,Dem 2007,110,-0.29536,,,,,,,
D,2009,Dem 2009,111,-0.308318181818182,,,,,11.14,-5.652225,-2.185655
D,2011,Dem 2011,112,-0.298981132075472,,,,,,,
D,2013,Dem 2013,113,-0.326298245614035,,,,,-6.442,-6.286629,-3.161463
D,2015,Dem 2015,114,-0.333136363636364,,,,,,,
R,1921,Rep 1921,67,0.420742424242424,,,,,13.869,-4.545981,0.7135878
R,1923,Rep 1923,68,0.413898305084746,,,,,,,
R,1925,Rep 1925,69,0.397967213114754,,,,,-4.962,-4.511223,1.878225
R,1927,Rep 1927,70,0.392490566037736,,,,,,,
R,1929,Rep 1929,71,0.403421875,,,,,-4.848,-5.04265,1.299029
R,1931,Rep 1931,72,0.367134615384615,,,,,,,
R,1933,Rep 1933,73,0.331945945945946,,,,,-7.179,-4.738536,0.7077411
R,1935,Rep 1935,74,0.2972,,,,,,,
R,1937,Rep 1937,75,0.266882352941176,,,,,1.036,-4.215264,1.267617
R,1939,Rep 1939,76,0.253925925925926,,,,,,,
R,1941,Rep 1941,77,0.254166666666667,,,,,14.948,-3.859496,2.54078
R,1943,Rep 1943,78,0.291738095238095,,,,,,,
R,1945,Rep 1945,79,0.274952380952381,,,,,-0.803,-5.390549,1.389505
R,1947,Rep 1947,80,0.29278431372549,,,,,,,
R,1949,Rep 1949,81,0.266531914893617,,,,,6.667,-4.966138,2.441175
R,1951,Rep 1951,82,0.276,,,,,,,
R,1953,Rep 1953,83,0.286796296296296,,,,,19.5,-3.920926,3.673179
R,1955,Rep 1955,84,0.280489361702128,,,,,,,
R,1957,Rep 1957,85,0.267854166666667,,,,,-5.3,-5.505111,2.78665
R,1959,Rep 1959,86,0.255944444444444,,,,,,,
R,1961,Rep 1961,87,0.26895,,,,,-9.5,-5.775418,2.044883
R,1963,Rep 1963,88,0.278424242424242,,,,,,,
R,1965,Rep 1965,89,0.279575757575758,,,,,20.8,-3.951311,3.594032
R,1967,Rep 1967,90,0.253,,,,,,,
R,1969,Rep 1969,91,0.250840909090909,,,,,1.6,-5.02622,2.241723
R,1971,Rep 1971,92,0.233222222222222,,,,,,,
R,1973,Rep 1973,93,0.264837209302326,,,,,0.7,-5.418231,2.404532
R,1975,Rep 1975,94,0.270842105263158,,,,,,,
R,1977,Rep 1977,95,0.269026315789474,,,,,6.6,-4.72129,2.87219
R,1979,Rep 1979,96,0.276634146341463,,,,,,,
R,1981,Rep 1981,97,0.310166666666667,,,,,22.4,-4.033789,3.765498
R,1983,Rep 1983,98,0.307,6.8,CM84,6,0.864056974919171,,,
R,1985,Rep 1985,99,0.313814814814815,,,,,33.6,-3.364958,5.180124
R,1987,Rep 1987,100,0.313652173913044,,,,,,,
R,1989,Rep 1989,101,0.322608695652174,,,,,29.4,-3.595283,5.412153
R,1991,Rep 1991,102,0.319386363636364,,,,,,,
R,1993,Rep 1993,103,0.337244444444444,6.85,HI95,13,0.943953704232872,30.415,-4.207582,3.812665
R,1995,Rep 1995,104,0.350490909090909,,,,,,,
R,1997,Rep 1997,105,0.372818181818182,,,,,24.217,-4.108512,3.015361
R,1999,Rep 1999,106,0.363053571428571,,,,,,,
R,2001,Rep 2001,107,0.3679,16.6,BL06,167,1.1645925516544,33.314,-4.040994,3.279577
R,2003,Rep 2003,108,0.358,,,,,,,
R,2005,Rep 2005,109,0.378254545454545,,,,,25.903,-4.01013,2.838735
R,2007,Rep 2007,110,0.391725490196078,,,,,,,
R,2009,Rep 2009,111,0.398863636363636,,,,,25.124,-4.454416,2.374327
R,2011,Rep 2011,112,0.443666666666667,,,,,,,
R,2013,Rep 2013,113,0.471478260869565,,,,,27.957,-3.699279,3.26643
